PERIODO,MES,DIRECTORIO,SECUENCIA_P,ORDEN,INGLABO,P6500,P6800,RAMA2D_R4,RAMA4D_R4,OFICIO_C8,P6430,P6040,P3271,P3042,DPTO,AREA,CLASE
20240101,1,7656021,1,1,3560000.0,3560000.0,48,86,8610,1342,1,47,2,12.0,8,8.0,1
20240101,1,7656025,1,1,2500000.0,1250000.0,48,85,8530,2330,1,26,1,10.0,8,8.0,1
20240101,1,7656025,1,2,2800000.0,2800000.0,48,85,8530,2330,1,26,2,10.0,8,8.0,1
20240101,1,7657086,1,1,1300000.0,1300000.0,48,49,4921,8331,1,57,1,10.0,8,8.0,1
20240101,1,7657087,1,1,4000000.0,4000000.0,48,85,8543,2310,1,54,2,11.0,8,8.0,1
20240101,1,7657090,1,2,2200000.0,2200000.0,47,64,6412,4211,1,30,1,9.0,8,8.0,1
20240101,1,7657090,1,3,2300000.0,2300000.0,48,82,8220,4222,1,28,1,8.0,8,8.0,1
20240101,1,7657093,1,1,4000000.0,4000000.0,48,62,6201,1330,1,43,1,11.0,8,8.0,1
20240101,1,7657093,1,2,4000000.0,4000000.0,48,46,4661,1120,1,43,2,11.0,8,8.0,1
20240101,1,7657096,1,1,2400000.0,2400000.0,48,47,4711,1219,1,49,1,10.0,8,8.0,1
20240101,1,7657101,1,1,6000000.0,6000000.0,48,81,8121,2611,1,43,1,10.0,8,8.0,1
20240101,1,7657101,1,2,1100000.0,800000.0,20,85,8512,4226,1,41,2,10.0,8,8.0,1
20240101,1,7657102,1,2,5000000.0,5000000.0,48,62,6201,2512,1,44,2,10.0,8,8.0,1
20240101,1,7657105,1,1,5000000.0,5000000.0,48,71,7111,2166,1,35,1,10.0,8,8.0,1
20240101,1,7657106,1,3,2000000.0,2000000.0,48,25,2511,4321,1,26,1,10.0,8,8.0,1
20240101,1,7657110,1,2,450000.0,450000.0,48,56,5619,9112,1,52,1,10.0,8,8.0,1
20240101,1,7657111,1,1,2300000.0,2300000.0,48,82,8220,4222,1,33,1,5.0,8,8.0,1
20240101,1,7657115,1,3,2320000.0,2320000.0,48,31,3110,2511,1,24,1,10.0,8,8.0,1
20240101,1,7657117,1,2,1140000.0,900000.0,48,56,5619,5246,1,25,1,5.0,8,8.0,1
20240101,1,7657118,1,4,1200000.0,1200000.0,48,87,8730,5322,1,23,2,8.0,8,8.0,1
20240101,1,7657118,1,7,1200000.0,1200000.0,60,28,2815,8122,1,47,1,5.0,8,8.0,1
20240101,1,7657121,1,4,1160000.0,1160000.0,48,47,4719,9334,1,22,1,5.0,8,8.0,1
20240101,1,7657122,1,3,1200000.0,1200000.0,60,56,5611,5131,1,23,2,10.0,8,8.0,1
20240101,1,7657123,1,2,1880000.0,1800000.0,60,25,2599,7212,1,47,1,5.0,8,8.0,1
