"","directorio","secuencia_p","orden","p3271","p6040","p6050","p6090","p6100","p3042","p3042s1","p3043","clase","mes","p6240","pet","p6426","p6500","p6510","p6510s1","p6510s2","p6590","p6590s1","p6600","p6600s1","p6610","p6610s1","p6620","p6620s1","p6585s1","p6585s1a1","p6585s1a2","p6585s2","p6585s2a1","p6585s2a2","p6585s3","p6585s3a1","p6585s3a2","p6585s4","p6585s4a1","p6585s4a2","p6545","p6545s1","p6545s2","p6580","p6580s1","p6580s2","p6630s1","p6630s1a1","p6630s2","p6630s2a1","p6630s3","p6630s3a1","p6630s4","p6630s4a1","p6630s6","p6630s6a1","p6750","p3073","p550","p6800","p6920","p7040","p7045","p7050","p7070","p7090","p7110","p7120","p7140s1","p7140s2","p7150","p7160","p6430","oc","p7350","p7422","p7422s1","des","fft","p7500s1","p7500s1a1","p7500s3","p7500s3a1","p7510s1","p7510s1a1","p7510s2","p7510s2a1","p7510s5","p7510s5a1","p7510s6","p7510s6a1","p7510s7","p7510s7a1","p7495","p7500s2","p7500s2a1","p7505","p7510s3","p7510s3a1","cclasnr2","cclasnr3","cclasnr4","cclasnr5","cclasnr6","cclasnr7","cclasnr8","cclasnr11","impa","isa","ie","imdi","iof1","iof2","iof3h","iof3i","iof6","impaes","isaes","iees","imdies","iof1es","iof3hes","iof6es","iof2es","iof3ies","ingtotob","ingtotes","ingtot","fex_c","dominio","ciudad_sinam","dpto","fex_dpto"
"1",8087710,1,2,2,59,2,1,1,10,10,7,1,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,76.331000762,"BARRANQUILLA","BARRANQUILLA","Atlántico",76.3310007617361
"2",8087710,1,1,1,57,1,1,1,10,10,7,1,1,1,1,360,3100000,2,0,NA,1,230000,2,0,2,0,2,0,2,0,NA,2,0,NA,2,0,NA,2,0,NA,2,0,NA,2,0,NA,1,3100000,2,0,2,0,2,0,2,0,NA,1,NA,48,1,2,NA,NA,0,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0,NA,0,2,0,2,0,2,0,1,310000,2,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,3358333.3333,0,230000,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3588333.3333,NA,3588333.3333,76.331000762,"BARRANQUILLA","BARRANQUILLA","Atlántico",76.3310007617361
"3",8087711,1,1,1,50,1,1,1,11,2,8,1,1,1,1,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4000000,1,NA,44,1,2,NA,NA,0,2,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,4e+06,0,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4e+06,NA,4e+06,70.9463743,"BARRANQUILLA","BARRANQUILLA","Atlántico",70.9463743004232
"4",8087711,1,4,2,38,10,1,3,3,5,NA,1,1,1,1,144,900000,2,0,NA,1,300000,1,300000,2,0,2,0,2,0,NA,2,0,NA,2,0,NA,2,0,NA,2,0,NA,2,0,NA,2,0,2,0,2,0,2,0,2,0,NA,1,NA,48,2,2,NA,NA,0,2,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,9e+05,0,600000,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500000,NA,1500000,70.9463743,"BARRANQUILLA","BARRANQUILLA","Atlántico",70.9463743004232
"5",8087711,1,2,2,48,2,1,1,10,10,7,1,1,1,1,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2300000,1,NA,40,1,2,NA,NA,0,2,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,2300000,0,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2300000,NA,2300000,70.9463743,"BARRANQUILLA","BARRANQUILLA","Atlántico",70.9463743004232
"6",8087711,1,3,2,16,3,1,1,5,1,1,1,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,70.9463743,"BARRANQUILLA","BARRANQUILLA","Atlántico",70.9463743004232
"7",8087712,1,1,2,44,1,1,1,10,10,7,1,1,4,1,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700000,1,NA,24,1,2,NA,NA,0,2,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,0,NA,0,1,6000000,2,0,2,0,2,0,2,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,7e+05,0,NA,NA,0,NA,5e+05,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1200000,NA,1200000,81.52901917,"BARRANQUILLA","BARRANQUILLA","Atlántico",81.5290191704726
"8",8087714,1,2,2,43,10,1,3,3,5,NA,1,1,1,1,84,1300000,2,0,NA,1,250000,1,600000,2,0,2,0,2,0,NA,2,0,NA,2,0,NA,2,0,NA,2,0,NA,2,0,NA,2,0,2,0,2,0,2,0,2,0,NA,1,NA,48,2,2,NA,NA,0,2,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1300000,0,850000,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2150000,NA,2150000,87.879419606,"BARRANQUILLA","BARRANQUILLA","Atlántico",87.8794196059206
"9",8087714,1,1,2,69,1,1,1,10,10,7,1,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,NA,1,2,0,2,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,1,3900000,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,3900000,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3900000,NA,3900000,87.879419606,"BARRANQUILLA","BARRANQUILLA","Atlántico",87.8794196059206
"10",8087716,1,1,1,59,1,1,1,11,2,8,1,1,1,1,300,6500000,2,0,NA,2,0,2,0,2,0,2,0,2,0,NA,2,0,NA,2,0,NA,2,0,NA,2,0,NA,2,0,NA,1,6500000,2,0,1,3250000,2,0,2,0,NA,1,NA,40,1,2,NA,NA,0,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,7312500,0,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7312500,NA,7312500,42.745360427,"BARRANQUILLA","BARRANQUILLA","Atlántico",42.7453604265722
